ISBN,ISBN NUMERIQUE,OUVRAGE,NOM AUTEUR ,PRENOM AUTEUR ,EDITEUR,COLLECTION,DISCIPLINE,DISCIPLINE,ANNEE,MISE EN LIGNE,OUVRAGE ACCESSIBLE,TARIF EN EUROS HT,ANNEES AVANT ACCES PERENNE,URL CAIRN
9782130560845,9782130639800,Dialogues avec Daney et autres textes,Skorecki,Louis,P.U.F.,Perspectives critiques,Arts,,2007,2014-10-01,non,E,infos non disponibles,http://www.cairn.info/dialogues-avec-daney-et-autres-textes--9782130560845.htm
9782842925352,9782842925376,Faire des films,Villain,Dominique,P.U.V.,Hors collection,Arts,,2016,2016-07-07,non,E,infos non disponibles,http://www.cairn.info/faire-des-films--9782842925352.htm
9782842924102,9782842924935,Faut voir !,Vauday,Patrick,P.U.V.,Intempestives,Arts,,2014,2016-03-04,non,B,infos non disponibles,http://www.cairn.info/faut-voir--9782842924102.htm
9782842924591,9782842924614,Filmer les frontières,Maury,Corinne,P.U.V.,Esthétiques hors cadre,Arts,,2016,2016-07-07,non,D,infos non disponibles,http://www.cairn.info/filmer-les-frontieres--9782842924591.htm
9782130565918,9782130640301,"Fritz Lang, Ladykiller",Bourget,Jean-Loup,P.U.F.,Perspectives critiques,Arts,,2009,2014-10-01,non,F,infos non disponibles,http://www.cairn.info/fritz-Lang-ladykiller--9782130565918.htm
9782111281424,,Intermédiaires du travail artistique,Lizé,Wenceslas,DEPS,Questions de culture,Arts,,2011,2014-09-09,non,B,infos non disponibles,http://www.cairn.info/intermediaires-du-travail-artistique--9782111281424.htm
9782130581505,9782130641537,Joseph L. Mankiewicz et son double,Amiel,Vincent,P.U.F.,Perspectives critiques,Arts,,2010,2014-10-01,non,E,infos non disponibles,http://www.cairn.info/joseph-l-mankiewicz-et-son-double--9782130581505.htm
9782130579380,,Kino-Tanz,Tomasovic,Dick,P.U.F.,Travaux pratiques,Arts,,2009,2015-04-20,non,E,infos non disponibles,http://www.cairn.info/kino-tanz--9782130579380.htm
9782130625247,,L' art contemporain entre les lignes,Glicenstein,Jérôme,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,E,infos non disponibles,http://www.cairn.info/l-art-contemporain-entre-les-lignes--9782130625247.htm
9782130584858,,L' iconicité et ses images,Bordron,Jean-François,P.U.F.,Formes sémiotiques,Arts,,2011,2016-04-01,non,F,infos non disponibles,http://www.cairn.info/l-iconocite-et-ses-images--9782130584858.htm
9782130573562,9782130640929,L'art une histoire d'expositions,Glicenstein,Jérôme,P.U.F.,Lignes d'art,Arts,,2009,2015-04-20,non,F,infos non disponibles,http://www.cairn.info/l-art-une-histoire-d-expositions--9782130573562.htm
9782130606543,,L'artiste est une femme,Zapperi,Giovanna,P.U.F.,Lignes d'art,Arts,,2012,2016-03-04,non,F,infos non disponibles,http://www.cairn.info/l-artiste-est-une-femme--9782130606543.htm
9782130586845,9782130642152,L'écran éblouissant,Mourlet,Michel,P.U.F.,Perspectives critiques,Arts,,2011,2014-10-01,non,F,infos non disponibles,http://www.cairn.info/l-ecran-eblouissant--9782130586845.htm
9782804135645,,La mise en scène,Aumont,Jacques,De Boeck Supérieur,Arts  Cinéma,Arts,,2000,2014-12-29,non,E,infos non disponibles,http://www.cairn.info/la-mise-en-scene--9782804135645.htm
9782940516636,9782940516636,Le fabuleux destin des biens culturels,Badinou,Panayota,BSN Press,A contrario Campus,Arts,,2016,2017-03-20,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-fabuleux-destin-des-biens-culturels--9782940516636.htm
9782130607618,,Le prisonnier. Sommes-nous tous des numéros ?,Sérisier,Pierre,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,D,infos non disponibles,http://www.cairn.info/le-prisonnier-sommes-nous-tous-des-numeros--9782130607618.htm
9782130576068,9782130791522,Lecture de la Trinité d'Andrei Roublev,Floch,Jean-Marie,P.U.F.,Formes sémiotiques,Arts,,2009,2016-04-01,non,F,infos non disponibles,http://www.cairn.info/lecture-de-la-trinite-d-andrei-roublev--9782130576068.htm
9782130571803,9782130640752,Les arrière-gardes au XX,Marx,William,P.U.F.,Quadrige,Arts,,2008,2014-11-19,non,E,infos non disponibles,http://www.cairn.info/les-arriere-gardes-au-20e-siecle--9782130571803.htm
9782110046369,,Les arts de la rue,Dapporto,Elena,DEPS,Questions de culture,Arts,,2000,2014-02-01,non,B,infos non disponibles,http://www.cairn.info/les-arts-de-la-rue--9782110046369.htm
9782110961990,,Les arts du cirque,David-Gibert,Gwénola,DEPS,Questions de culture,Arts,,2006,2014-02-01,non,B,infos non disponibles,http://www.cairn.info/les-arts-du-cirque--9782110961990.htm
9782130585619,9782130741541,Les avocats au cinéma,Guéry,Christian,P.U.F.,Questions judiciaires,Arts,,2011,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/les-avocats-au-cinema--9782130585619.htm
9782842924539,9782842924553,Les écrans de l'intégration,Durmelat,Sylvie,P.U.V.,Culture et Société,Arts,,2015,2016-07-07,non,D,infos non disponibles,http://www.cairn.info/les-ecrans-de-l-integration--9782842924539.htm
9782842924317,9782842925123,L'art face à la guerre,Maingon,Claire,P.U.V.,Libre cours,Arts,,2015,2016-07-07,non,B,infos non disponibles,http://www.cairn.info/l-art-face-a-la-guerre--9782842924317.htm
9782130619376,9782130625063,Plus belle la vie. La boîte à histoires,Le Naour,Jean-Yves,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,D,infos non disponibles,http://www.cairn.info/plus-belle-la-vie-la-boite-a-histoires--9782130619376.htm
9782130566663,9782130739715,Pourquoi un septième Art ?,Chateau,Jean-Yves,P.U.F.,Intervention philosophique,Arts,,2008,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/pourquoi-un-septieme-art--9782130566663.htm
9782940516629,9782940516643,Pratiques de l'improvisation,Margel,Serge,BSN Press,A contrario Campus,Arts,,2016,2017-04-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/pratiques-de-l-improvisation--9782940516629.htm
9782130589549,9782130741879,Quand le film nous parle,Soulez,Guillaume,P.U.F.,Lignes d'art,Arts,,2011,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/quand-le-film-nous-parle--9782130589549.htm
9782130576990,9782130740636,Qu'est-ce que la danse contemporaine ?,Frimat,François,P.U.F.,Intervention philosophique,Arts,,2011,2015-09-17,non,E,infos non disponibles,http://www.cairn.info/qu-est-ce-que-la-danse-contemporaine--9782130576990.htm
9782130583202,9782130641698,Robert Aldrich ,Bourton,William,P.U.F.,Perspectives critiques,Arts,,2011,2014-10-02,non,E,infos non disponibles,http://www.cairn.info/robert-aldrich --9782130583202.htm
9782842924621,9782842925253,Robert Carsen,Santurenne,Thierry,P.U.V.,Théâtres du monde,Arts,,2016,2016-07-07,non,D,infos non disponibles,http://www.cairn.info/robert-carsen--9782842924621.htm
9782130607625,9782130627821,Rome,Le Bohec,Yann,P.U.F.,Hors collection,Arts,,2013,2017-04-05,non,D,infos non disponibles,http://www.cairn.info/rome--9782130607625.htm
9782130559986,9782130639718,"Sophie Calle, l'art caméléon",Sauvageot,Anne,P.U.F.,Perspectives critiques,Arts,,2007,2014-11-13,non,F,infos non disponibles,http://www.cairn.info/sophie-calle-l-art-cameleon--9782130559986.htm
9782130608028,,Sémiotique du design,Beyaert-Geslin,Anne,P.U.F.,Formes sémiotiques,Arts,,2012,2016-04-01,non,F,infos non disponibles,http://www.cairn.info/semiotique-du-design--9782130608028.htm
9782130589327,9782130741862,Vertige de l'image ,Van Eynde,Laurent,P.U.F.,Lignes d'art,Arts,,2011,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/vertige-de-l-image --9782130589327.htm
9782130788492,,Vie des formes,Focillon,Henri,P.U.F.,Quadrige,Arts,,2013,2017-04-05,non,F,infos non disponibles,http://www.cairn.info/vie-des-formes--9782130788492.htm
9782842924294,9782842925192,Éclats de temps,Doumet,Christian,P.U.V.,La Philosophie hors de soi,Arts,,2015,2016-01-04,non,B,infos non disponibles,http://www.cairn.info/eclats-de-temps--9782842924294.htm
9782130448525,9782130706120,Étrangeté de l'art,Onimus,Jean,P.U.F.,Écriture,Arts,,1992,2016-08-31,non,B,infos non disponibles,http://www.cairn.info/etrangete-de-l-art--9782130448525.htm
9782111281547,,Chiffres clés statistiques de la Culture 2014,et de la Communication,Ministère de la Culture,DEPS,Chiffres clés statistiques de la culture,Arts,"Économie, Gestion",2014,2014-04-01,non,A,infos non disponibles,http://www.cairn.info/chiffres-cles-statistiques-de-la-culture-2014--9782111281547.htm
9782130560937,9782130739388,Justices à l'écran,Guéry,Christian,P.U.F.,Questions judiciaires,"Arts, Droit",,2007,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/justices-a-l-ecran--9782130560937.htm
9782110961976,,Création et diversité au miroir des industries culturelles,Greffe,Xavier,DEPS,Questions de culture,"Arts, Sciences politiques",,2006,2015-05-04,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/creation-et-diversite-au-miroir-des-industries--9782110961976.htm
9782130559757,9782130639688,Critique du droit du travail,Supiot,Alain,P.U.F.,Quadrige,Droit,,2011,2014-07-01,non,D,infos non disponibles,http://www.cairn.info/critique-du-droit-du-travail--9782130559757.htm
9782247056965,9782724686463,Droit et économie de la régulation. 1,Frison-Roche,Marie-Anne,Presses de Sciences Po,Hors collection,Droit,,2004,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/droit-et-economie-de-la-regulation-1--9782247056965.htm
9782247056972,9782724686456,Droit et économie de la régulation. 2,Frison-Roche,Marie-Anne,Presses de Sciences Po,Hors collection,Droit,,2004,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/droit-et-economie-de-la-regulation-2--9782247056972.htm
9782247063611,9782724686562,Droit et économie de la régulation. 3,Frison-Roche,Marie-Anne,Presses de Sciences Po,Hors collection,Droit,,2005,2012-04-01,non,D,infos non disponibles,http://www.cairn.info/droit-et-economie-de-la-regulation-3--9782247063611.htm
9782247066537,9782724682045,Droit et économie de la régulation. 4,Frison-Roche,Marie-Anne,Presses de Sciences Po,Hors collection,Droit,,2006,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/droit-et-economie-de-la-regulation-4--9782247066534.htm
9782724610574,9782724686920,Droit et économie de la régulation. 5,Frison-Roche,Marie-Anne,Presses de Sciences Po,Hors collection,Droit,,2007,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/droit-et-economie-de-la-regulation-5--9782247075713.htm
9782804166885,,Introduction au droit des étrangers en France,Ribémont,Thomas,De Boeck Supérieur,Le point sur... Politique,Droit,,2012,2014-12-04,non,A,infos non disponibles,http://www.cairn.info/introduction-au-droit-des-etrangers-en-france--9782804166885.htm
9782130565895,,La constitution imaginaire de l'administration ,Caillosse,Jacques,P.U.F.,Les voies du droit,Droit,,2008,2016-01-04,non,F,infos non disponibles,http://www.cairn.info/la-constitution-imaginaire-de-l-administration--9782130565895.htm
9782724610710,9782724687101,Éléments de droit constitutionnel,Borella,François,Presses de Sciences Po,Références ,Droit,,2008,2011-10-20,non,F,infos non disponibles,http://www.cairn.info/Elements-de-droit-constitutionnel--9782724610710.htm
9782707124449,9782707194893,Humanité et souverainetés,Chemillier-Gendreau,Monique,La Découverte,TAP/HIST Contemporaine,Droit,,1995,2016-12-01,non,E,infos non disponibles,http://www.cairn.info/humanite-et-souverainetes--9782707124449.htm
9782746712072,,"Juges, bourreaux, victimes",Maupas,Stéphanie,Autrement,Frontières,Droit,,2008,2012-04-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/juges-bourreaux-victimes--9782746712072.htm
9782130526926,,Juridictions nationales et crimes internationaux,Cassese,Antonio,P.U.F.,Hors collection,Droit,,2002,2016-02-19,non,G,infos non disponibles,http://www.cairn.info/juridictions-nationales-et-crimes-internationaux--9782130526926.htm
9782130522843,9782130637622,L'Europe et le droit ,Strömholm,Stig,P.U.F.,Politique d'aujourd'hui,Droit,,2002,2014-07-01,non,E,infos non disponibles,http://www.cairn.info/l-europe-et-le-droit--9782130522843.htm
9782724609509,9782724685657,La constitution européenne,Deloche-Gaudez,Florence,Presses de Sciences Po,Nouveaux Débats,Droit,,2005,2012-04-01,non,C,infos non disponibles,http://www.cairn.info/la-constitution-europeenne--9782724609506.htm
9782130550037,9782130637868,La globalisation humaine,Wihtol de Wenden,Catherine,P.U.F.,Hors collection,Droit,,2009,2014-08-14,non,F,infos non disponibles,http://www.cairn.info/la-globalisation-humaine--9782130550037.htm
9782130560418,,La justice administrative en Europe ,Institutionnelles et Juridique,Observatoire des Mutations,P.U.F.,Droit et justice,Droit,,2007,2016-01-04,non,D,infos non disponibles,http://www.cairn.info/la-justice-administrative-en-europe--9782130560418.htm
9782865869527,9782749226279,La justice de proximité en Europe,Faget,Jacques,ERES,Trajets,Droit,,2001,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/la-justice-de-proximite-en-europe--9782865869527.htm
9782130554943,,"Le droit international, le droit européen et la hiérarchie des normes",Olson,Terry,P.U.F.,Droit et justice,Droit,,2006,2016-01-04,non,D,infos non disponibles,http://www.cairn.info/le-droit-international-le-droit-europeen-et-la-hie--9782130554943.htm
9782724608137,,Les mots de l'Europe,Grossman,Emiliano,Presses de Sciences Po,Références ,Droit,,2001,2013-04-02,non,C,infos non disponibles,http://www.cairn.info/les-mots-de-l-urope--9782724608137.htm
9782130571797,,Réparer l'irréparable,Jeangène Vilmer,Jean-Baptiste,P.U.F.,Hors collection,Droit,,2009,2016-01-04,non,E,infos non disponibles,http://www.cairn.info/reparer-l-irreparable--9782130571797.htm
9782724613711,9782724613735,"Mariages musulmans, tribunaux d'Occident",Fournier,Pascale,Presses de Sciences Po,Académique ,Droit,,2013,2014-02-01,non,G,infos non disponibles,http://www.cairn.info/mariages-musulmans-tribunaux-d-occident--9782724613711.htm
9782759209491,9782759216079,Expérimentation animale,Marguénaud,Jean-Pierre,Éditions Quæ,Sciences en questions,Droit, Sciences politiques,2011,2014-01-01,non,D,infos non disponibles,http://www.cairn.info/experimentation-animale--9782759209491.htm
9782804140137,,L'Europe après l'Europe,Herzog,Philippe,De Boeck Supérieur,Hors collection,Droit, Sciences politiques,2002,2014-10-31,non,C,infos non disponibles,http://www.cairn.info/l-europe-apres-l-europe--9782804140137.htm
9782707169969,9782707173546,La charia aujourd'hui,Dupret,Baudouin,La Découverte,Recherches,Droit, Sciences politiques,2012,2014-10-03,non,E,infos non disponibles,http://www.cairn.info/la-charia-aujourd-hui--9782707169969.htm
9782130564294,9782130640097,Le droit sans l'État,Cohen-Tanugi,Laurent,P.U.F.,Quadrige,Droit, Sciences politiques,2007,2014-10-01,non,E,infos non disponibles,http://www.cairn.info/le-droit-sans-l-etat--9782130564294.htm
9782707139368,9782707172587,La nature hors la loi,Ost,François,La Découverte,Poche/Sciences humaines et sociales,Droit, Philosophie,2003,2013-04-02,non,C,infos non disponibles,http://www.cairn.info/la-nature-hors-la-loi--9782707139368.htm
9782724609806,9782724687958,Droits d'ingérence,Moreau Defarges,Philippe,Presses de Sciences Po,Nouveaux Débats,Droit, Sciences politiques,2006,2012-04-01,non,C,infos non disponibles,http://www.cairn.info/droits-d-ingerence--9782724609806.htm
9782724609479,9782724688061,Ils nous avaient promis la paix,Pouligny,Béatrice,Presses de Sciences Po,Académique ,Droit, Sciences politiques,2004,2012-04-01,non,D,infos non disponibles,http://www.cairn.info/ils-nous-avaient-promis-la-paix--9782724609479.htm
9782724610765,9782724687071,L'Union européenne dans le temps long,Quermonne,Jean-Louis,Presses de Sciences Po,La Bibliothèque du citoyen,Droit, Sciences politiques,2008,2011-10-19,non,E,infos non disponibles,http://www.cairn.info/Union-europeenne-dans-le-temps-long--9782724610765.htm
9782130497219,,Philosophie du droit international,Lejbowicz,Agnès,P.U.F.,Fondements de la politique,Droit, Sciences politiques,1999,2016-12-01,non,F,infos non disponibles,http://www.cairn.info/philosophie-du-droit-international--9782130497219.htm
9782724612851,9782724689082,L'union par le droit,Vauchez,Antoine,Presses de Sciences Po,Références ,Droit, Sciences politiques,2013,2014-07-01,non,G,infos non disponibles,http://www.cairn.info/l-union-par-le-droit--9782724612851.htm
9782130581444,9782130641520,Du procès pénal,Salas,Denis,P.U.F.,Quadrige,Droit,,2010,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/du-proces-penal--9782130581444.htm
9782130550921,9782130738824,Gendarmerie nationale : les soldats de la loi,Lizurey,Richard,P.U.F.,Questions judiciaires,Droit,,2006,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/gendarmerie-nationale-les-soldats-de-la-loi--9782130550921.htm
9782130606994,9782130742487,L'innocence judiciaire ,Inchauspé,Dominique,P.U.F.,Questions judiciaires,Droit,,2012,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/l-innocence-judiciaire--9782130606994.htm
9782130574750,9782130740414,La dangerosité saisie par le droit pénal,Giudicelli-Delage,Geneviève,P.U.F.,Les voies du droit,Droit,,2011,2015-09-17,non,E,infos non disponibles,http://www.cairn.info/la-dangerosite-saisie-par-le-droit-penal--9782130574750.htm
9782130589020,9782130741817,La justice française contre ETA,Vuelta Simon,Samuel,P.U.F.,Questions judiciaires,Droit,,2012,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/la-justice-francaise-contre-eta--9782130589020.htm
9782130567448,9782130739814,La prévention de la délinquance,Bousquet,Richard,P.U.F.,Questions judiciaires,Droit,,2009,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/la-prevention-de-la-delinquance--9782130567448.htm
9782130557777,9782130790709,La victime sur la scène pénale en Europe,Giudicelli-Delage,Geneviève,P.U.F.,Les voies du droit,Droit,,2008,2016-01-04,non,F,infos non disponibles,http://www.cairn.info/la-victime-sur-la-scene-penale-en-europe--9782130557777.htm
9782130588832,9782130741763,"Le 36, quai des Orfèvres",Bienvenu,Clovis,P.U.F.,Questions judiciaires,Droit,,2012,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/le-36-quai-des-orfevres--9782130588832.htm
9782200255886,9782200257804,L'abolition de la peine capitale en France,Astruc,Philippe,Armand Colin,U,Droit,,2011,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/l-abolition-de-la-peine-capitale-en-france--9782200255886.htm
9782865868681,9782749227979,L'individualisation de la peine,Ottenhof,Reynald,ERES,Criminologie et sciences de l'homme,Droit,,2001,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/l-individualisation-de-la-peine--9782865868681.htm
9782343052229,,L'éthique de l'avocat pénaliste,Rude-Antoine,Edwige,L'Harmattan,Éthique en contextes,Droit,,2014,2015-07-01,non,D,infos non disponibles,http://www.cairn.info/l-ethique-de-l-avocat-penaliste--9782343052229.htm
9782130572381,9782130740193,Prévenir la délinquance,Cusson,Maurice,P.U.F.,Criminalité internationale,Droit,,2009,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/prevenir-la-delinquance--9782130572381.htm
9782130558309,9782130638094,Les grands procès,Amson,Daniel,P.U.F.,Questions judiciaires,Droit,,2007,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/les-grands-proces--9782130558309.htm
9782100520589,9782100537471,Guide des tutelles et de la protection juridique des majeurs,Wong,Catherine,Dunod,Guides Santé Social,Droit,,2009,2016-03-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/guide-des-tutelles-et-de-la-protection-juridique--9782100520589.htm
9782100544707,9782100558995,Guide pratique du droit de la famille et de l'enfant en action sociale et médico-sociale,Lebrun,Pierre-Brice,Dunod,Guides Santé Social,Droit,,2011,2016-03-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/guide-pratique-du-droit-de-la-famille--9782100544707.htm
9782130588276,,Histoire du droit privé français depuis 1804,Halpérin,Jean-Louis,P.U.F.,Quadrige,Droit,,2012,2016-11-10,non,E,infos non disponibles,http://www.cairn.info/histoire-du-droit-prive-francais-depuis-1804--9782130588276.htm
9782749201948,9782749226194,"La famille que je veux, quand je veux ?",Neirinck,Claire,ERES,Enfance  parentalité,Droit,,2003,2013-04-01,non,C,infos non disponibles,http://www.cairn.info/la-famille-que-je-veux-quand-je-veux--9782749201948.htm
9782804155353,9782804178215,La médiation familiale,Baugniet,Nathalie,De Boeck Supérieur,Les familles et le droit,Droit,,2008,2012-04-01,non,C,infos non disponibles,http://www.cairn.info/la-mediation-familiale--9782804155353.htm
9782130524717,9782130638056,Le droit d'auteur l'idéologie et le système,Paris,Thomas,P.U.F.,Sciences sociales et sociétés,Droit,,2002,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/droit-d-auteur-l-ideologie-et-le-systeme--9782130524717.htm
9782130572138,9782130740162,Le droit des sexualités,Borrillo,Daniel,P.U.F.,Les voies du droit,Droit,,2009,2015-11-08,non,F,infos non disponibles,http://www.cairn.info/le-droit-des-sexualites--9782130572138.htm
9782100598908,9782100600366,Le droit des usagers,Janvier,Roland,Dunod,Aide-Mémoire,Droit,,2013,2016-03-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-droit-des-usagers--9782100598908.htm
9782759224579,9782759224593,L'emprise des droits intellectuels sur le monde vivant,Hermitte,Marie-Angèle,Éditions Quæ,Sciences en questions,Droit,,2016,2016-10-03,non,C,infos non disponibles,http://www.cairn.info/l-emprise-des-droits-intellectuels-sur-le-monde--9782759224579.htm
9782130550341,9782130638162,L'erreur judiciaire,Inchauspé,Dominique,P.U.F.,Questions judiciaires,Droit,,2010,2014-08-14,non,F,infos non disponibles,http://www.cairn.info/l-erreur-judiciaire--9782130550341.htm
9782804155346,9782804178130,Mariage ou cohabitation ?,Sosson,Jehanne,De Boeck Supérieur,Les familles et le droit,Droit,,2008,2012-04-01,non,C,infos non disponibles,http://www.cairn.info/mariage-ou-cohabitation--9782804155346.htm
9782600014854,,Origines théologiques du concept moderne de propriété,Renoux-Zagamé,Marie-France,Librairie Droz,Travaux de Sciences Sociales,Droit,,1987,2015-06-30,non,F,infos non disponibles,http://www.cairn.info/origines-theologiques-du-concept-moderne-de-propri--9782600014854.htm
9782865869350,9782749229737,Usagers de la psychiatrie : de la disqualification à la dignité,Dutoit,Martine,ERES,"Études, recherches, actions en santé mentale en Europe",Droit,,2001,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/usagers-de-la-psychiatrie-de-la-disqualification--978286586935.htm
9782749202266,9782749225456,"Droit d'être soigné, droits des soignants",Pidolle,Alain,ERES,"Études, recherches, actions en santé mentale en Europe",Droit,,2003,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/droit-d-etre-soigne-droits-des-soignants--9782749202266.htm
9782130593294,,Droit de la santé,Laude,Anne,P.U.F.,Thémis,Droit,,2012,2016-11-10,non,G,infos non disponibles,http://www.cairn.info/droit-de-la-sante--9782130593294.htm
9782100710065,9782100739097,Droit du travail dans le secteur social et médico-social,Bellivier,Muriel,Dunod,Aide-Mémoire,Droit,,2015,2016-03-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/droit-du-travail-dans-le-secteur-social--9782100710065.htm
9782100576739,9782100584611,Jurisprudences du secteur social et médico-social,Vialla,François,Dunod,Guides Santé Social,Droit,,2012,2016-03-03,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/jurisprudences-du-secteur-social-et-medico-social--9782100576739.htm
9782749200033,9782749226750,L'administrateur ad hoc,Antonowicz,Gilles,ERES,Fondation pour l'Enfance,Droit,,2002,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/l-administrateur-ad-hoc--9782749200033.htm
9782130555919,9782130635970,La personne biojuridique,Bauzon,Stéphane,P.U.F.,Quadrige,Droit,,2006,2014-10-01,non,E,infos non disponibles,http://www.cairn.info/la-personne-biojuridique--9782130555919.htm
9782749203140,9782749227030,Le consentement éclairé en périnatalité et en pédiatrie,Séguret,Sylvie,ERES,La vie de l'enfant,Droit,,2004,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/le-consentement-eclaire-en-perinatalite-et-en-pedi--978274920314.htm
9782724613612,9782724613636,"Médecin du travail, médecin du patron ?",Marichalar,Pascal,Presses de Sciences Po,Nouveaux Débats,Droit,,2014,2014-10-03,non,D,infos non disponibles,http://www.cairn.info/medecin-du-travail-medecin-du-patron--9782724613612.htm
9782865869657,9782749228914,"Psychiatrie, droits de l'homme et défense des usagers en Europe",Bernardet,Philippe,ERES,"Études, recherches, actions en santé mentale en Europe",Droit,,2002,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/psychiatrie-droits-de-l-homme-et-defense-des-usage--9782865869657.htm
9782130574163,,"Sécurité des patients, sécurité des consommateurs",Laude,Anne,P.U.F.,Droit et santé,Droit,,2009,2016-04-01,non,E,infos non disponibles,http://www.cairn.info/securite-des-patients-securite-des-consommateurs--9782130574163.htm
9782749205618,9782749224022,Vers un droit à l'enfant normal ?,Moyse,Danielle,ERES,1001 bébés,Droit,,2006,2012-04-01,non,C,infos non disponibles,http://www.cairn.info/vers-un-droit-a-l-enfant-normal--9782749205618.htm
9782130532040,9782130637776,Droit et progrès scientifique,Binet,Jean-René,P.U.F.,Partage du savoir,Droit,,2002,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/droit-et-progres-scientifique--9782130532040.htm
